idx;stratum;config;query_id;question;claim;nli_label;nli_score;best_chunk_id;best_chunk_source;best_chunk_text;juicio_humano;comentario
13;contradicted;denso | mistral-7b-instruct;q024;What is AWS DynamoDB and what are its main features?;Backup and restore: DynamoDB provides automatic backups and point-in-time recovery to protect against accidental data loss or corruption.;contradicted;0.8781;e8f7c82f-3b75-4c1e-b093-76ad5c33f241;aws/DynamoDB :: NOTICE;[AWS > DynamoDB > NOTICE] This repository is archived, read-only, and no longer updated. For more information, read [the announcement on the AWS News Blog](https://aws.amazon.com/blogs/aws/retiring-the-aws-documentation-on-github/). ⏎  ⏎ You can find up-to-date AWS technical documentation on the [AWS Documentation website](https://docs.aws.amazon.com/), where you can also submit feedback and suggestions for improvement.;;
14;contradicted;denso | mistral-7b-instruct;q192;Compare identity federation approaches across AWS, Azure, and GCP;Azure Active Directory (AAD) provides identity federation capabilities that allow users to access Azure services and applications using identities from external identity providers such as SAML, OIDC, or social identity providers..;contradicted;0.9954;05a365fd-ff28-4c8a-bdc5-03b8ee39fef4;gcp/GKE :: Authenticate to Google Cloud APIs from GKE workloadsStay organized with collectionsSave and categorize content based on your preferences. > Disable Workload Identity Federation for GKE in your organization; Identity Federation for GKE for the cluster, do the following:Click theDetailstab.In theSecuritysection, next toWorkload Identity, clickeditEdit.In theEdit Workload Identitydialog, clear theEnable Workload Identitycheckbox.ClickSave changes. [GCP > GKE > Authenticate to Google Cloud APIs from GKE workloadsStay organized with collectionsSave and categorize content based on your preferences. > Disable Workload Identity Federation for GKE in your organization] The steps in thelink Kubernetes ServiceAccounts to IAMsection let Kubernetes ServiceAccounts impersonate the identity of the linked ⏎ IAM service account. Long-lived API tokens for the Kubernetes ⏎ ServiceAccounts can be exchanged for the corresponding IAMservice account access tokens. ⏎ You might want to disable Workload Identity Federation for GKE for clusters in your ⏎ organization, folder, or project when you want to isolate workloads from ⏎ IAM service accounts. For example, if you plan todisable service account creationordisable service account key creation, ⏎ disabling Workload Identity Federation for GKE prevents the exchange of ServiceAccount tokens ⏎ for IAM service account access tokens. ⏎ For more information, seeDisable workload identity cluster creation.;;
15;contradicted;hibrido | mistral-7b-instruct;q068;How to set up AWS VPC for a production workload?;On the Inbound rules tab, create the following rules: On the Outbound rules tab, keep the default rule, which allows all outbound traffic.;contradicted;0.9901;95ddf340-777a-4a23-8f34-0c2c622dcbbe;"aws/EC2 :: Set up to use Amazon EC2<a name="get-set-up-for-amazon-ec2"></a> > Create a security group<a name="create-a-base-security-group"></a> > [ Old console ]";" for a short time in a test environment, but it is unsafe for production environments\. ⏎  ⏎ 1. For **Outbound rules**, keep the default rule, which allows all outbound traffic\. ⏎  ⏎ 1. Choose **Create security group**\. ⏎  ⏎ ------ [AWS > EC2 > Set up to use Amazon EC2<a name="get-set-up-for-amazon-ec2"></a> > Create a security group<a name="create-a-base-security-group"></a> > [ Old console ]] **To create a security group with least privilege** ⏎  ⏎ 1. Open the Amazon EC2 console at [https://console\.aws\.amazon\.com/ec2/](https://console.aws.amazon.com/ec2/)\. ⏎  ⏎ 1. In the left navigation pane, choose **Security Groups**\. ⏎  ⏎ 1. Choose **Create Security Group**\. ⏎  ⏎ 1. Enter a name for the new security group and a description\. Use a name that is easy for you to remember, such as your user name, followed by \_SG\_, plus the Region name\. For example, *me*\_SG\_*uswest2*\. ⏎  ⏎ 1. In the **VPC** list, select your default VPC for the Region\. ⏎  ⏎ 1. On the **Inbound rules** tab, create the following rules \(choose **Add rule** for each new rule\): ⏎    + Choose **HTTP** from the **Type** list, and make sure that **Source** is set to **Anywhere** \(`0.0.0.0/0`\)\. ⏎    + Choose **HTTPS** from the **Type** list, and make sure that **Source** is set to **Anywhere** \(`0.0.0.0/0`\)\. ⏎    + Choose **SSH** from the **Type** list\. In the **Source** box, choose **My IP** to automatically populate the field with the public IPv4 address of your local computer\. Alternatively, choose **Custom** and specify the public IPv4 address of your computer or network in CIDR notation\. To specify an individual IP address in CIDR notation, add the routing suffix `/32`, for example, `203.0.113.25/32`\. If your company allocates addresses from a range, specify the entire range, such as `203.0.113.0/24`\. ⏎ **Warning**   ⏎ For security reasons, do not allow SSH access from all IP addresses to your instance\. This is acceptable for a short time in a test environment, but it is unsafe for production environments\. ⏎  ⏎ 1. On the **Outbound rules** tab, keep the default rule, which allows all outbound traffic\. ⏎  ⏎ 1. Choose **Create security group**\. ⏎  ⏎ ------";;
16;contradicted;lexico | qwen3.5-9b;q012;What is the SLA for AWS RDS?;Architecture and security group configurations.;contradicted;0.9068;80caba8a-0771-4ba2-96a3-1c145d8112da;"aws/EC2 :: Task 3: Automatically connect your EC2 instance to your RDS database<a name="option1-task3-connect-ec2-instance-to-rds-database"></a> > Task objective<a name="option1-task3-connect-ec2-instance-to-rds-database-objective"></a>";"[AWS > EC2 > Task 3: Automatically connect your EC2 instance to your RDS database<a name="option1-task3-connect-ec2-instance-to-rds-database"></a> > Task objective<a name="option1-task3-connect-ec2-instance-to-rds-database-objective"></a>] The objective of this task is to use the automatic connection feature in the EC2 console to automatically configure the connection between your EC2 instance and your RDS database\. ⏎  ⏎ Use the following steps to connect your EC2 instance and RDS database using the automatic feature in the EC2 console\. ⏎  ⏎ To view an animation of these steps, see [View an animation: Automatically connect a newly\-launched EC2 instance to an RDS database](#option1-task3-connect-ec2-instance-to-rds-database-animation)\. ⏎  ⏎ **To automatically connect an EC2 instance to an RDS database using the EC2 console** ⏎  ⏎ 1. On the instance launch confirmation page \(it should be open from the previous task\), choose **Connect an RDS database**\. ⏎  ⏎    If you closed the confirmation page, follow these steps: ⏎  ⏎    1. Open the Amazon EC2 console at [https://console\.aws\.amazon\.com/ec2/](https://console.aws.amazon.com/ec2/)\. ⏎  ⏎    1. In the navigation pane, choose **Instances**\. ⏎  ⏎    1. Select the EC2 instance that you just created, and then choose **Actions**, **Networking**, **Connect RDS database**\. ⏎  ⏎       If **Connect RDS database** is not available, check that the EC2 instance is in the **Running** state\. ⏎  ⏎ 1. For **Database role**, choose **Instance**\. *Instance* in this case refers to the database instance\. ⏎  ⏎ 1. For **RDS database**, choose the RDS database that you created in Task 1\. ⏎ **Note**   ⏎ The EC2 instance and the RDS database must be in the same VPC in order to connect to each other\. ⏎  ⏎ 1. Choose **Connect**\.";;
17;contradicted;lexico | qwen3.5-9b;q067;How to configure auto-scaling in AWS RDS?;The documentation does not contain any information about:.;contradicted;0.9997;76a9f816-cc46-4887-8268-4c6c2240d93d;"aws/EC2 :: Tutorial: Connect an Amazon EC2 instance to an Amazon RDS database<a name="tutorial-connect-ec2-instance-to-rds-database"></a> > Context<a name="tutorial-connect-ec2-rds-context"></a>";"-rds-option3.md) ⏎  ⏎   Configure the connection between your EC2 instance to your RDS database by manually configuring and assigning the security groups to reproduce the configuration that is automatically created by the automatic connection feature in Option 1 and Option 2\. [AWS > EC2 > Tutorial: Connect an Amazon EC2 instance to an Amazon RDS database<a name="tutorial-connect-ec2-instance-to-rds-database"></a> > Context<a name="tutorial-connect-ec2-rds-context"></a>] As context for why you'd want to configure a connection between your EC2 instance and an RDS database, let's consider the following scenario: Your website presents a form to your users to fill in\. You need to capture the form data in a database\. You can host your website on an EC2 instance that's been configured as a web server, and you can capture the form data in an RDS database\. The EC2 instance and the RDS database need to be connected to each other so that the form data can go from the EC2 instance to the RDS database\. This tutorial explains how to configure that connection\. Note that this is just one example of a use case for connecting an EC2 instance and an RDS database\.";;
18;contradicted;hibrido | qwen3.5-9b;q009;What is the SLA for AWS ECS?;Task scheduling strategies (REPLICA and DAEMON).;contradicted;0.9886;357e5e2b-83ce-4707-897f-e55de5bb223c;"aws/ECS :: Service Connect<a name="service-connect"></a>";"[AWS > ECS > Service Connect<a name="service-connect"></a>] Amazon ECS Service Connect provides management of service\-to\-service communication as Amazon ECS configuration\. It does this by building both service discovery and a service mesh in Amazon ECS\. This provides  the complete configuration inside each Amazon ECS service that you manage by service deployments, a unified way to refer to your services within namespaces that doesn't depend on the Amazon VPC DNS configuration, and standardized metrics and logs to monitor all of your applications on Amazon ECS\. Amazon ECS Service Connect only interconnects Amazon ECS services\. ⏎  ⏎ **Overview of steps to configure Service Connect**   ⏎ Follow these steps to configure Service Connect for a group of related services\. ⏎  ⏎ 1. Configure port names in your task definitions\. Additionally, you can identify the layer 7 protocol of the application, to get additional metrics\. ⏎  ⏎ 1. Create a AWS Cloud Map namespace\. For simple organization, create an Amazon ECS cluster and specify the identical name for the namespace\. In this case, Amazon ECS creates a new HTTP namespace with the necessary configuration\. Amazon ECS Service Connect doesn't use or create DNS hosted zones in Amazon Route 53\. ⏎  ⏎ 1. Configure services to create Service Connect endpoints within the namespace\. ⏎  ⏎ 1. Deploy services to create the endpoints\. Amazon ECS adds a Service Connect proxy container to each task, and creates the Service Connect endpoints in AWS Cloud Map\. This container isn't configured in the task definition, and the task definition can be reused without modification to create multiple services in the same namespace or in multiple namespaces\. ⏎  ⏎ 1. Deploy client apps as services to connect to the endpoints\. Amazon ECS connects them to the Service Connect endpoints through the Service Connect proxy in each task\. ⏎  ⏎ 1. Monitor traffic through the Service Connect proxy in Amazon CloudWatch\. ⏎  ⏎ **Regions with Service Connect**   ⏎ Amazon ECS Service Connect is available in the following AWS Regions: ⏎  ⏎  ⏎ | Region Name | Region |  ⏎ | --- | --- |  ⏎ |  US East \(Ohio\)  |  us\-east\-2  |  ⏎ |  US East \(N\. Virginia\)  |  us\-east\-1  |  ⏎ |  US West \(N\. California\)  |  us\-west\-1  |  ⏎ |  US West \(Oregon\)  |  us\-west\-2  |  ⏎ |  Africa \(Cape Town\)  |  af\-south\-1  |  ⏎ |  Asia Pacific \(Hong Kong\)  |  ap\-east\-1  |  ⏎ |  Asia Pacific \(Jakarta\) ";;
19;contradicted;hibrido | qwen3.5-9b;q155;What are the trade-offs between Azure Container Instances and Azure Virtual Network?;IPv6 Support: Azure Container Instances don't support IPv6 communication for containers.;contradicted;0.9969;d1289fdd-69da-41e4-a478-3dcd10a07a50;azure/Virtual Network :: Add, change, or delete a virtual network subnet;[AZURE > Virtual Network > Add, change, or delete a virtual network subnet] Azure virtual network subnets are essential containers where all Azure resources are deployed within a virtual network. This comprehensive guide explains how to add, change, or delete virtual network subnets using the Azure portal, Azure CLI, or Azure PowerShell, helping you effectively manage your network infrastructure.;;
20;contradicted;lexico | qwen3.5-9b;q172;What are the differences between AWS VPC and Azure Virtual Network?;## Available Information by Provider ⏎  ⏎ ### AWS VPC ⏎ The context provides the following information about AWS VPC: ⏎  ⏎ | Feature | Details | ⏎ |---------|---------| ⏎ | **Definition** | Enables you to define a virtual network in your own logically isolated area within the AWS cloud  | ⏎ | **IP Addressing** | You can select IP address range, create subnets, configure route tables, network gateways, and security settings  | ⏎ | **Internet Access** | By default, your instance can access the Internet.;contradicted;0.989;86e97b26-74d9-46e6-ab9e-91e993037776;"aws/EC2 :: EC2\-Classic<a name="ec2-classic-platform"></a> > Differences between instances in EC2\-Classic and a VPC<a name="differences-ec2-classic-vpc"></a>";" hardware\.  |  You can run your instance on shared hardware or single\-tenant hardware\.  |  ⏎ | Accessing the Internet | Your instance can access the Internet\. Your instance automatically receives a public IP address, and can access the Internet directly [AWS > EC2 > EC2\-Classic<a name="ec2-classic-platform"></a> > Differences between instances in EC2\-Classic and a VPC<a name="differences-ec2-classic-vpc"></a>]  through the AWS network edge\. | By default, your instance can access the Internet\. Your instance receives a public IP address by default\. An Internet gateway is attached to your default VPC, and your default subnet has a route to the Internet gateway\. | By default, your instance cannot access the Internet\. Your instance doesn't receive a public IP address by default\. Your VPC may have an Internet gateway, depending on how it was created\.  |  ⏎ | IPv6 addressing | IPv6 addressing is not supported\. You cannot assign IPv6 addresses to your instances\. | You can optionally associate an IPv6 CIDR block with your VPC, and assign IPv6 addresses to instances in your VPC\. | You can optionally associate an IPv6 CIDR block with your VPC, and assign IPv6 addresses to instances in your VPC\. |";;
21;unsupported;hibrido | granite4.1-8b;q171;Compare the serverless compute offerings between AWS Lambda and Azure Functions;Azure Functions provides specific enhancements like the Flex Consumption plan for reduced cold starts and virtual network support, which are not directly mentioned in the AWS Lambda context provided..;unsupported;0.0042;e347e6f7-f052-499c-bada-850793baebd4;azure/Azure Functions :: Azure Functions Flex Consumption plan hosting > Benefits; <em>serverless</em> model. ⏎  ⏎ You can review end-to-end samples that feature the Flex Consumption plan in the [Flex Consumption plan samples repository](https://github.com/Azure-Samples/azure-functions-flex-consumption-samples). [AZURE > Azure Functions > Azure Functions Flex Consumption plan hosting > Benefits] The Flex Consumption plan builds on the strengths of the serverless Consumption plan, which include dynamic scaling and execution-based billing. With Flex Consumption, you also get these extra features: ⏎  ⏎ + **Reduced Cold Start Times**: Enable [always-ready instances](#always-ready-instances) to achieve faster cold-start times compared to the Consumption plan.  ⏎ + **Virtual network support**: [Virtual network integration](#virtual-network-integration) enables your serverless app to run in a virtual network. ⏎ + **Per-Function Scaling**: Each function in your app [scales independently based on its workload](#per-function-scaling), potentially resulting in more efficient resource allocation. ⏎ + **Improved Concurrency Handling**: Better handling of concurrent executions with configurable concurrency settings per function. ⏎ + **Flexible Memory Configuration**: Flex Consumption offers multiple [instance sizes](#instance-sizes) size options, allowing you to optimize for your specific workload requirements. ⏎  ⏎ This table helps you directly compare the features of Flex Consumption with the Consumption hosting plan: ⏎  ⏎  ⏎ [TABLE_0] ⏎   ⏎ | Dedicated compute (mitigate cold starts) | ❌ None | ✅ Always ready instances (optional) |  ⏎ | Billing | Execution-time only | Execution-time + always-ready instances | ⏎ | Scale-out instances (max) | 200 | 1000 | ⏎  ⏎ For a complete comparison of the Flex Consumption plan against the Consumption plan and all other plan and hosting types, see [function scale and hosting options](functions-scale.md). ⏎  ⏎ > [!TIP] ⏎ > If you're migrating from the Linux Consumption plan, see [Migrate Consumption plan apps to the Flex Consumption plan](migration/migrate-plan-consumption-to-flex.md?pivots=platform-linux) for step-by-step migration instructions and important differences between the plans.;;
22;unsupported;denso | granite4.1-8b;q028;What instance types are available in AWS S3?;The document focuses exclusively on Amazon EC2 (Elastic Compute Cloud) instance types, categorizing them into current and previous generation instances across various families such as General Purpose, Compute Optimized, Memory Optimized, Storage Optimized, Accelerated Computing, etc.;unsupported;0.0129;8e0bf9dd-6ccb-4c71-aaa6-58459e539315;"aws/EC2 :: Instance types<a name="instance-types"></a> > Available instance types<a name="AvailableInstanceTypes"></a> > Current generation instances<a name="current-gen-instances"></a> > Memory optimized<a name="current-mo"></a>";"[AWS > EC2 > Instance types<a name="instance-types"></a> > Available instance types<a name="AvailableInstanceTypes"></a> > Current generation instances<a name="current-gen-instances"></a> > Memory optimized<a name="current-mo"></a>] | Type | Sizes |  ⏎ | --- | --- |  ⏎ | CR1 | cr1\.8xlarge |  ⏎ | Hpc6id | hpc6id\.32xlarge |  ⏎ | R4 | r4\.large \| r4\.xlarge \| r4\.2xlarge \| r4\.4xlarge \| r4\.8xlarge \| r4\.16xlarge |  ⏎ | R5 | r5\.large \| r5\.xlarge \| r5\.2xlarge \| r5\.4xlarge \| r5\.8xlarge \| r5\.12xlarge \| r5\.16xlarge \| r5\.24xlarge \| r5\.metal |  ⏎ | R5a | r5a\.large \| r5a\.xlarge \| r5a\.2xlarge \| r5a\.4xlarge \| r5a\.8xlarge \| r5a\.12xlarge \| r5a\.16xlarge \| r5a\.24xlarge |  ⏎ | R5ad | r5ad\.large \| r5ad\.xlarge \| r5ad\.2xlarge \| r5ad\.4xlarge \| r5ad\.8xlarge \| r5ad\.12xlarge \| r5ad\.16xlarge \| r5ad\.24xlarge |  ⏎ | R5b | r5b\.large \| r5b\.xlarge \| r5b\.2xlarge \| r5b\.4xlarge \| r5b\.8xlarge \| r5b\.12xlarge \| r5b\.16xlarge \| r5b\.24xlarge \| r5b\.metal |  ⏎ | R5d | r5d\.large \| r5d\.xlarge \| r5d\.2xlarge \| r5d\.4xlarge \| r5d\.8xlarge \| r5d\.12xlarge \| r5d\.16xlarge \| r5d\.24xlarge \| r5d\.metal |  ⏎ | R5dn | r5dn\.large \| r5dn\.xlarge \| r5dn\.2xlarge \| r5dn\.4xlarge \| r5dn\.8xlarge \| r5dn\.12xlarge \| r5dn\.16xlarge \| r5dn\.24xlarge \| r5dn\.metal |  ⏎ | R5n | r5n\.large \| r5n\.xlarge \| r5n\.2xlarge \| r5n\.4xlarge \| r5n\.8xlarge \| r5n\.12xlarge \| r5n\.16xlarge \| r5n\.24xlarge \| r5n\.metal |  ⏎ | R6a | r6a\.large \| r6a\.xlarge \| r6a\.2xlarge \| r6a\.4xlarge \| r6a\.8xlarge \| r6a\.12xlarge \| r6a\.16xlarge \| r6a\.24xlarge \| r6a\.32xlarge \| r6a\.48xlarge \| r6a\.metal |  ⏎ | R6g | r6g\.medium \| r6g\.large \| r6g\.xlarge \| r6g\.2xlarge \| r6g\.4xlarge \| r6g\.8xlarge \| r6g\.12xlarge \| r6g\.16xlarge \| r6g\.metal |  ⏎ | R6gd | r6gd\.medium \| r6gd\.large \| r6gd\.xlarge \| r6gd\.2xlarge \| r6gd\.4xlarge \| r6gd\.8xlarge \| r6gd\.12xlarge \| r6gd\.16xlarge \| r6gd\.metal |  ⏎ | R6i | r6i\.large \| r6i\.xlarge \| r6i\.2xlarge \| r6i\.4xlarge \| r6i\.8xlarge \| r6i\.12xlarge \| r6i\.16xlarge \| r6i\.24xlarge \| r6i\.32xlarge \| r6i\.metal |  ⏎ | R6idn | r6idn\.large \| r6idn\.xlarge \| r6idn\.2xlarge \| r6idn\.4xlarge \| r6idn\.8xlarge \| r6idn\.12xlarge \| r6idn\.16xlarge \| r6idn\.24xlarge \| r6idn\.32xlarge \| r6idn\.metal |  ⏎ | R6in | r6in\.large \| r6in\.xlarge \| r6in\.2xlarge \| r6in\.4xlarge \| r6in\.8xlarge \| r6in\.12xlarge \| r6in\.16xlarge \| r6in\.24xlarge \| r6in\.32xlarge \| r6in\.metal |  ⏎ | R6id | r6id\.large \| r6id\.xlarge \| r6id\.2xlarge \| r6id\.4xlarge \| r6id\.8xlarge \| r6id\.12xlarge \| r6id\.16xlarge \| r6id\.24xlarge \| r6id\.32xlarge \| r6id\.metal |  ⏎ | R7g | r7g\.medium \| r7g\.large \| r7g\.xlarge \| r7g\.2xlarge \| r7g\.4xlarge \| r7g\.8xlarge \| r7g\.12xlarge \| r7g\.16xlarge \| r7g\.metal |  ⏎ | U\-3tb1 | u\-3tb1\.56xlarge |  ⏎ | U\-6tb1 | u\-6tb1\.56xlarge \| u\-6tb1\.112xlarge \| u\-6tb1\.metal |  ⏎ | U\-9tb1 | u\-9tb1\.112xlarge \| u\-9tb1\.metal |  ⏎ | U\-12tb1 | u\-12tb1\.112xlarge \| u\-12tb1\.metal |  ⏎ | U\-18tb1 | u\-18tb1\.metal |  ⏎ | U\-24tb1 | u\-24tb1\.metal |  ⏎ | X1 | x1\.16xlarge \| x1\.32xlarge |  ⏎ | X2gd | x2gd\.medium \| x2gd\.large \| x2gd\.xlarge \| x2gd\.2xlarge \| x2gd\.4xlarge \| x2gd\.8xlarge \| x2gd\.12xlarge \| x2gd\.16xlarge \| x2gd\.metal |  ⏎ | X2idn | x2idn\.16xlarge \| x2idn\.24xlarge \| x2idn\.32xlarge \| x2idn\.metal |  ⏎ | X2iedn | x2iedn\.xlarge \| x2iedn\.2xlarge \| x2iedn\.4xlarge \| x2iedn\.8xlarge \| x2iedn\.16xlarge \| x2iedn\.24xlarge \| x2iedn\.32xlarge \| x2iedn\.metal |  ⏎ | X2iezn | x2iezn\.2xlarge \| x2iezn\.4xlarge \| x2iezn\.6xlarge \| x2iezn\.8xlarge \| x2iezn\.12xlarge \| x2iezn\.metal |  ⏎ | X1e | x1e\.xlarge \| x1e\.2xlarge \| x1e\.4xlarge \| x1e\.8xlarge \| x1e\.16xlarge \| x1e\.32xlarge |  ⏎ | z1d | z1d\.large \| z1d\.xlarge \| z1d\.2xlarge \| z1d\.3xlarge \| z1d\.6xlarge \| z1d\.12xlarge \| z1d\.metal |";;
23;unsupported;lexico | granite4.1-8b;q019;What are the limits and quotas for AWS EC2?;Target capacity per fleet: up to 10,000 instances..;unsupported;0.0055;b30b1f34-e36c-4fa2-a634-9ca10e113981;"aws/EC2 :: Fleet quotas<a name="fleet-quotas"></a>";"[AWS > EC2 > Fleet quotas<a name="fleet-quotas"></a>] The usual Amazon EC2 quotas \(formerly referred to as limits\) apply to instances launched by an EC2 Fleet or a Spot Fleet, such as [Spot Instance limits](using-spot-limits.md) and [volume limits](volume_limits.md)\. ⏎  ⏎ In addition, the following quotas apply: ⏎  ⏎  ⏎ ****   ⏎  ⏎ | Quota description | Quota |  ⏎ | --- | --- |  ⏎ | The number of EC2 Fleets and Spot Fleets per Region in the active, deleted\_running, and cancelled\_running states | 1,000 ¹ ² ³ ⁴ |  ⏎ | The number of Spot capacity pools \(unique combination of instance type and subnet\) | 300 ¹ ⁴ |  ⏎ | The size of the user data in a launch specification | 16 KB ² |  ⏎ | The target capacity per EC2 Fleet or Spot Fleet | 10,000 |  ⏎ | The target capacity across all EC2 Fleets and Spot Fleets in a Region | 100,000 ¹ |  ⏎ |  An EC2 Fleet request or a Spot Fleet request can't span Regions\.  |  |  ⏎ | An EC2 Fleet request or a Spot Fleet request can't span different subnets from the same Availability Zone\. |  |  ⏎  ⏎ ¹ These quotas apply to both your EC2 Fleets and your Spot Fleets\. ⏎  ⏎ ² These are hard quotas\. You cannot request an increase for these quotas\. ⏎  ⏎ ³ After you delete an EC2 Fleet or cancel a Spot Fleet request, and if you specified that the fleet should *not* terminate its Spot Instances when you deleted or canceled the request, the fleet request enters the `deleted_running` \(EC2 Fleet\) or `cancelled_running` \(Spot Fleet\) state and the instances continue to run until they are interrupted or you terminate them manually\. If you terminate the instances, the fleet request enters the `deleted_terminating` \(EC2 Fleet\) or `cancelled_terminating` \( Spot Fleet\) state and does not count towards this quota\. For more information, see [Delete an EC2 Fleet](manage-ec2-fleet.md#delete-fleet) and [Cancel a Spot Fleet request](work-with-spot-fleets.md#cancel-spot-fleet)\. ⏎  ⏎ ⁴ This quota only applies to fleets of type `request` or `maintain`\. This quota does not apply to `instant` fleets\.";;
