idx;stratum;config;query_id;question;claim;nli_label;nli_score;pre_clasificacion;best_chunk_id;best_chunk_source;best_chunk_text;juicio_humano;comentario
14;contradicted;denso | mistral-7b-instruct;q192;Compare identity federation approaches across AWS, Azure, and GCP;In Autopilot clusters, it is always enabled..;contradicted;0.9976;genuine;a0f5141b-f9d4-4ba0-b0c5-60b4122cb46c;gcp/GKE :: Authenticate to Google Cloud APIs from GKE workloadsStay organized with collectionsSave and categorize content based on your preferences. > Troubleshooting; if you plan todisable service account creationordisable service account key creation, ⏎ disabling Workload Identity Federation for GKE prevents the exchange of ServiceAccount tokens ⏎ for IAM service account access tokens. ⏎ For more information, seeDisable workload identity cluster creation. [GCP > GKE > Authenticate to Google Cloud APIs from GKE workloadsStay organized with collectionsSave and categorize content based on your preferences. > Troubleshooting] For troubleshooting information, refer toTroubleshooting Workload Identity Federation for GKE. ⏎  ⏎ Learn more aboutWorkload Identity Federation for GKE.Read theGKE security overview.Learn aboutProtecting Cluster Metadata.Learn aboutIAM service accounts.;;
15;contradicted;hibrido | mistral-7b-instruct;q068;How to set up AWS VPC for a production workload?;On the Inbound rules tab, create the following rules: On the Outbound rules tab, keep the default rule, which allows all outbound traffic.;contradicted;0.9901;genuine;95ddf340-777a-4a23-8f34-0c2c622dcbbe;"aws/EC2 :: Set up to use Amazon EC2<a name="get-set-up-for-amazon-ec2"></a> > Create a security group<a name="create-a-base-security-group"></a> > [ Old console ]";" for a short time in a test environment, but it is unsafe for production environments\. ⏎  ⏎ 1. For **Outbound rules**, keep the default rule, which allows all outbound traffic\. ⏎  ⏎ 1. Choose **Create security group**\. ⏎  ⏎ ------ [AWS > EC2 > Set up to use Amazon EC2<a name="get-set-up-for-amazon-ec2"></a> > Create a security group<a name="create-a-base-security-group"></a> > [ Old console ]] **To create a security group with least privilege** ⏎  ⏎ 1. Open the Amazon EC2 console at [https://console\.aws\.amazon\.com/ec2/](https://console.aws.amazon.com/ec2/)\. ⏎  ⏎ 1. In the left navigation pane, choose **Security Groups**\. ⏎  ⏎ 1. Choose **Create Security Group**\. ⏎  ⏎ 1. Enter a name for the new security group and a description\. Use a name that is easy for you to remember, such as your user name, followed by \_SG\_, plus the Region name\. For example, *me*\_SG\_*uswest2*\. ⏎  ⏎ 1. In the **VPC** list, select your default VPC for the Region\. ⏎  ⏎ 1. On the **Inbound rules** tab, create the following rules \(choose **Add rule** for each new rule\): ⏎    + Choose **HTTP** from the **Type** list, and make sure that **Source** is set to **Anywhere** \(`0.0.0.0/0`\)\. ⏎    + Choose **HTTPS** from the **Type** list, and make sure that **Source** is set to **Anywhere** \(`0.0.0.0/0`\)\. ⏎    + Choose **SSH** from the **Type** list\. In the **Source** box, choose **My IP** to automatically populate the field with the public IPv4 address of your local computer\. Alternatively, choose **Custom** and specify the public IPv4 address of your computer or network in CIDR notation\. To specify an individual IP address in CIDR notation, add the routing suffix `/32`, for example, `203.0.113.25/32`\. If your company allocates addresses from a range, specify the entire range, such as `203.0.113.0/24`\. ⏎ **Warning**   ⏎ For security reasons, do not allow SSH access from all IP addresses to your instance\. This is acceptable for a short time in a test environment, but it is unsafe for production environments\. ⏎  ⏎ 1. On the **Outbound rules** tab, keep the default rule, which allows all outbound traffic\. ⏎  ⏎ 1. Choose **Create security group**\. ⏎  ⏎ ------";;
16;contradicted;hibrido | qwen3.5-9b;q009;What is the SLA for AWS ECS?;None of these sections contain information about the Service Level Agreement (SLA) for AWS ECS.;contradicted;0.9956;genuine;5dfba71d-8f81-41e5-96ce-3b937c5ce22a;"aws/ECS :: Custom log routing<a name="using_firelens"></a> > Considerations<a name="firelens-considerations"></a>";")\. We provide the AWS for Fluent Bit image or you can use your own Fluentd or Fluent Bit image\. ⏎  ⏎ Creating Amazon ECS task definitions with a FireLens configuration is supported using the AWS SDKs, AWS CLI, and AWS Management Console\. [AWS > ECS > Custom log routing<a name="using_firelens"></a> > Considerations<a name="firelens-considerations"></a>] Consider the following when using FireLens for Amazon ECS: ⏎ + FireLens for Amazon ECS is supported for tasks that are hosted on both AWS Fargate on Linux and Amazon EC2 on Linux\. Windows containers don't support FireLens\. ⏎  ⏎   For information about how to configure centralized logging for Windows containers, see [Centralized logging for Windows containers on Amazon ECS using Fluent Bit](http://aws.amazon.com/blogs/containers/centralized-logging-for-windows-containers-on-amazon-ecs-using-fluent-bit/)\. ⏎ + FireLens for Amazon ECS is supported in AWS CloudFormation templates\. For more information, see [AWS::ECS::TaskDefinition FirelensConfiguration](https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/aws-properties-ecs-taskdefinition-firelensconfiguration.html) in the *AWS CloudFormation User Guide* ⏎ + FireLens listens on port `24224`, so to ensure that the FireLens log router isn't reachable outside of the task, you must not allow inbound traffic on port `24224` in the security group your task uses\. For tasks that use the `awsvpc` network mode, this is the security group associated with the task\. For tasks using the `host` network mode, this is the security group that's associated with the Amazon EC2 instance hosting the task\. For tasks that use the `bridge` network mode, don't create any port mappings that use port `24224`\. ⏎ + For tasks that use the `bridge` network mode, the container with the FireLens configuration must start before any application containers that rely on it start\. To control the start order of your containers, use dependency conditions in your task definition\. For more information, see [Container dependency](task_definition_parameters.md#container_definition_dependson)\. ⏎ **Note**   ⏎ If you use dependency condition parameters in container definitions with a FireLens configuration, ensure that each container has a `START` or `HEALTHY` condition requirement\. ⏎ + By default, FireLens adds the cluster and task definition name and the Amazon Resource Name \(ARN\) of the cluster as metadata keys to your stdout/stderr container logs\. The following is an example of the metadata format\. ⏎  ⏎    ⏎ [CODE_BLOCK_0] ⏎  ⏎  ⏎   If you do not want the metadata in your logs, set `enable-ecs-log-metadata` to `false` in the `firelensConfiguration` section of the task definition\. ⏎  ⏎    ⏎ [CODE_BLOCK_1]";;
17;contradicted;hibrido | qwen3.5-9b;q155;What are the trade-offs between Azure Container Instances and Azure Virtual Network?;IPv6 Support: Azure Container Instances don't support IPv6 communication for containers.;contradicted;0.9969;genuine;d1289fdd-69da-41e4-a478-3dcd10a07a50;azure/Virtual Network :: Add, change, or delete a virtual network subnet;[AZURE > Virtual Network > Add, change, or delete a virtual network subnet] Azure virtual network subnets are essential containers where all Azure resources are deployed within a virtual network. This comprehensive guide explains how to add, change, or delete virtual network subnets using the Azure portal, Azure CLI, or Azure PowerShell, helping you effectively manage your network infrastructure.;;
18;contradicted;lexico | qwen3.5-9b;q172;What are the differences between AWS VPC and Azure Virtual Network?;Direct feature comparisons between AWS VPC and Azure Virtual Network.;contradicted;0.9911;genuine;5e2b43d1-9284-4eb4-ab6c-a698b8588de2;azure/Virtual Network :: Custom IP address prefix (BYOIP) > Limitations;IMPORTANT] ⏎ > There are several differences between how custom IPv4 and IPv6 prefixes are onboarded and utilized. For more information, see [Differences between using BYOIPv4 and BYOIPv6](create-custom-ip-address-prefix-ipv6 [AZURE > Virtual Network > Custom IP address prefix (BYOIP) > Limitations] -powershell.md#differences-between-using-byoipv4-and-byoipv6).;;
19;contradicted;hibrido | qwen3.5-9b;q062;How to deploy a containerized application on AWS RDS?;None of the provided documentation contains information about AWS RDS (Relational Database Service) or how to deploy containerized applications with RDS.;contradicted;0.9993;genuine;c30f2d86-19d9-439a-b713-c1469eba5434;"aws/ECS :: Application architecture<a name="application_architecture"></a>";"[AWS > ECS > Application architecture<a name="application_architecture"></a>] You can follow one of the two following models to run your containers: ⏎ + Fargate launch type \- This is a serverless pay\-as\-you\-go option\. You can run containers without having to manage your infrastructure\. ⏎ + EC2 launch type \- Configure and deploy EC2 instances in your cluster to run your containers\. ⏎  ⏎ How you architect your application on Amazon ECS depends on several factors, with the launch type that you're using being a key differentiator\. We give the following guidance, broken down by launch type, which should assist in the process\.";;
20;contradicted;hibrido | qwen3.5-9b;q065;How to set up AWS RDS for a production workload?;The tutorial documentation is designed for learning purposes only and explicitly states that production environments require different configurations to meet specific needs.;contradicted;0.9675;genuine;77d5d1f2-92fd-459d-9a7b-78ccd4b14f00;"aws/EC2 :: Task 2: Create an RDS database and automatically connect it to your EC2 instance<a name="option2-task2-create-rds-database"></a> > Steps to create an RDS database<a name="option2-task2-create-rds-database-steps"></a>";"The objective of this task is to create an RDS database and use the automatic connection feature in the RDS console to automatically configure the connection between your EC2 instance and your RDS database\. [AWS > EC2 > Task 2: Create an RDS database and automatically connect it to your EC2 instance<a name="option2-task2-create-rds-database"></a> > Steps to create an RDS database<a name="option2-task2-create-rds-database-steps"></a>] Use the following steps to create an RDS database and connect it to your EC2 instance using the automatic feature in the RDS console\. ⏎  ⏎ To view an animation of these steps, see [View an animation: Create an RDS database and automatically connect it to an EC2 instance](#task2-create-rds-database-animation)\. ⏎  ⏎ **DB instance configuration** ⏎  ⏎ The steps in this task configure the DB instance as follows: ⏎ + Engine type: MySQL ⏎ + Template: Free tier ⏎ + DB instance identifier: **tutorial\-database** ⏎ + DB instance class: `db.t3.micro` ⏎  ⏎ **Important**   ⏎ In a production environment, you should configure your instance to meet your specific needs\. ⏎  ⏎ **To create an RDS database and automatically connect it to an EC2 instance** ⏎  ⏎ 1. Open the Amazon RDS console at [https://console\.aws\.amazon\.com/rds/](https://console.aws.amazon.com/rds/)\. ⏎  ⏎ 1. From the Region selector \(at top right\), choose the AWS Region in which you created the EC2 instance\. The EC2 instance and the RDS database must be in the same Region\. ⏎  ⏎ 1. On the dashboard, choose **Create database**\. ⏎  ⏎ 1. Under **Choose a database creation method**, check that **Standard create** is selected\. If you choose **Easy create**, the automatic connection feature is not available\. ⏎  ⏎ 1. Under **Engine options**, for **Engine type**, choose **MySQL**\. ⏎  ⏎ 1. Under **Templates**, choose a sample template to meet your needs\. For this tutorial, choose **Free tier** to create an RDS database at no cost\. However, note that the free tier is only available if your account is less than 12 months old\. Other restrictions apply\. You can read more by choosing the **Info** link in the **Free tier** box\. ⏎  ⏎ 1. Under **Settings**, do the following: ⏎  ⏎    1. For **DB instance identifier**, enter a name for the database\. For this tutorial, enter **tutorial\-database**\. ⏎  ⏎    1. For **Master username**, leave the default name, which is **admin**\. ⏎  ⏎    1. For **Master password**, enter a password that you can remember for this tutorial, and then, for **Confirm password**, enter the password again\. ⏎  ⏎ 1. Under **Instance configuration**, for **DB instance class**, leave the default, which is **db\.t3\.micro**\.";;
21;unsupported;hibrido | granite4.1-8b;q171;Compare the serverless compute offerings between AWS Lambda and Azure Functions;Flex Consumption plan enhancements: Per-function scaling for more efficient resource allocation..;unsupported;0.3118;genuine;17fcb1c3-8b1a-423f-bccb-ad3e2e41c1b3;azure/Azure Functions :: Use AI tools and models in Azure Functions;[AZURE > Azure Functions > Use AI tools and models in Azure Functions] Azure Functions provides serverless compute resources that integrate with AI and Azure services to streamline building cloud-hosted intelligent applications. This article provides a survey of the breadth of AI-related scenarios, integrations, and other AI resources that you can use in your function apps.  ⏎  ⏎ Consider using Azure Functions in your AI-enabled experiences for these scenarios: ⏎  ⏎  ⏎ [TABLE_0] ⏎   ⏎ Select one of these scenarios to learn more in this article.  ⏎  ⏎ This article is language-specific, so make sure you choose your programming language at the [top of the page](#top).;;
22;unsupported;denso | granite4.1-8b;q028;What instance types are available in AWS S3?;The document focuses exclusively on Amazon EC2 (Elastic Compute Cloud) instance types, categorizing them into current and previous generation instances across various families such as General Purpose, Compute Optimized, Memory Optimized, Storage Optimized, Accelerated Computing, etc.;unsupported;0.0129;genuine;8e0bf9dd-6ccb-4c71-aaa6-58459e539315;"aws/EC2 :: Instance types<a name="instance-types"></a> > Available instance types<a name="AvailableInstanceTypes"></a> > Current generation instances<a name="current-gen-instances"></a> > Memory optimized<a name="current-mo"></a>";"[AWS > EC2 > Instance types<a name="instance-types"></a> > Available instance types<a name="AvailableInstanceTypes"></a> > Current generation instances<a name="current-gen-instances"></a> > Memory optimized<a name="current-mo"></a>] | Type | Sizes |  ⏎ | --- | --- |  ⏎ | CR1 | cr1\.8xlarge |  ⏎ | Hpc6id | hpc6id\.32xlarge |  ⏎ | R4 | r4\.large \| r4\.xlarge \| r4\.2xlarge \| r4\.4xlarge \| r4\.8xlarge \| r4\.16xlarge |  ⏎ | R5 | r5\.large \| r5\.xlarge \| r5\.2xlarge \| r5\.4xlarge \| r5\.8xlarge \| r5\.12xlarge \| r5\.16xlarge \| r5\.24xlarge \| r5\.metal |  ⏎ | R5a | r5a\.large \| r5a\.xlarge \| r5a\.2xlarge \| r5a\.4xlarge \| r5a\.8xlarge \| r5a\.12xlarge \| r5a\.16xlarge \| r5a\.24xlarge |  ⏎ | R5ad | r5ad\.large \| r5ad\.xlarge \| r5ad\.2xlarge \| r5ad\.4xlarge \| r5ad\.8xlarge \| r5ad\.12xlarge \| r5ad\.16xlarge \| r5ad\.24xlarge |  ⏎ | R5b | r5b\.large \| r5b\.xlarge \| r5b\.2xlarge \| r5b\.4xlarge \| r5b\.8xlarge \| r5b\.12xlarge \| r5b\.16xlarge \| r5b\.24xlarge \| r5b\.metal |  ⏎ | R5d | r5d\.large \| r5d\.xlarge \| r5d\.2xlarge \| r5d\.4xlarge \| r5d\.8xlarge \| r5d\.12xlarge \| r5d\.16xlarge \| r5d\.24xlarge \| r5d\.metal |  ⏎ | R5dn | r5dn\.large \| r5dn\.xlarge \| r5dn\.2xlarge \| r5dn\.4xlarge \| r5dn\.8xlarge \| r5dn\.12xlarge \| r5dn\.16xlarge \| r5dn\.24xlarge \| r5dn\.metal |  ⏎ | R5n | r5n\.large \| r5n\.xlarge \| r5n\.2xlarge \| r5n\.4xlarge \| r5n\.8xlarge \| r5n\.12xlarge \| r5n\.16xlarge \| r5n\.24xlarge \| r5n\.metal |  ⏎ | R6a | r6a\.large \| r6a\.xlarge \| r6a\.2xlarge \| r6a\.4xlarge \| r6a\.8xlarge \| r6a\.12xlarge \| r6a\.16xlarge \| r6a\.24xlarge \| r6a\.32xlarge \| r6a\.48xlarge \| r6a\.metal |  ⏎ | R6g | r6g\.medium \| r6g\.large \| r6g\.xlarge \| r6g\.2xlarge \| r6g\.4xlarge \| r6g\.8xlarge \| r6g\.12xlarge \| r6g\.16xlarge \| r6g\.metal |  ⏎ | R6gd | r6gd\.medium \| r6gd\.large \| r6gd\.xlarge \| r6gd\.2xlarge \| r6gd\.4xlarge \| r6gd\.8xlarge \| r6gd\.12xlarge \| r6gd\.16xlarge \| r6gd\.metal |  ⏎ | R6i | r6i\.large \| r6i\.xlarge \| r6i\.2xlarge \| r6i\.4xlarge \| r6i\.8xlarge \| r6i\.12xlarge \| r6i\.16xlarge \| r6i\.24xlarge \| r6i\.32xlarge \| r6i\.metal |  ⏎ | R6idn | r6idn\.large \| r6idn\.xlarge \| r6idn\.2xlarge \| r6idn\.4xlarge \| r6idn\.8xlarge \| r6idn\.12xlarge \| r6idn\.16xlarge \| r6idn\.24xlarge \| r6idn\.32xlarge \| r6idn\.metal |  ⏎ | R6in | r6in\.large \| r6in\.xlarge \| r6in\.2xlarge \| r6in\.4xlarge \| r6in\.8xlarge \| r6in\.12xlarge \| r6in\.16xlarge \| r6in\.24xlarge \| r6in\.32xlarge \| r6in\.metal |  ⏎ | R6id | r6id\.large \| r6id\.xlarge \| r6id\.2xlarge \| r6id\.4xlarge \| r6id\.8xlarge \| r6id\.12xlarge \| r6id\.16xlarge \| r6id\.24xlarge \| r6id\.32xlarge \| r6id\.metal |  ⏎ | R7g | r7g\.medium \| r7g\.large \| r7g\.xlarge \| r7g\.2xlarge \| r7g\.4xlarge \| r7g\.8xlarge \| r7g\.12xlarge \| r7g\.16xlarge \| r7g\.metal |  ⏎ | U\-3tb1 | u\-3tb1\.56xlarge |  ⏎ | U\-6tb1 | u\-6tb1\.56xlarge \| u\-6tb1\.112xlarge \| u\-6tb1\.metal |  ⏎ | U\-9tb1 | u\-9tb1\.112xlarge \| u\-9tb1\.metal |  ⏎ | U\-12tb1 | u\-12tb1\.112xlarge \| u\-12tb1\.metal |  ⏎ | U\-18tb1 | u\-18tb1\.metal |  ⏎ | U\-24tb1 | u\-24tb1\.metal |  ⏎ | X1 | x1\.16xlarge \| x1\.32xlarge |  ⏎ | X2gd | x2gd\.medium \| x2gd\.large \| x2gd\.xlarge \| x2gd\.2xlarge \| x2gd\.4xlarge \| x2gd\.8xlarge \| x2gd\.12xlarge \| x2gd\.16xlarge \| x2gd\.metal |  ⏎ | X2idn | x2idn\.16xlarge \| x2idn\.24xlarge \| x2idn\.32xlarge \| x2idn\.metal |  ⏎ | X2iedn | x2iedn\.xlarge \| x2iedn\.2xlarge \| x2iedn\.4xlarge \| x2iedn\.8xlarge \| x2iedn\.16xlarge \| x2iedn\.24xlarge \| x2iedn\.32xlarge \| x2iedn\.metal |  ⏎ | X2iezn | x2iezn\.2xlarge \| x2iezn\.4xlarge \| x2iezn\.6xlarge \| x2iezn\.8xlarge \| x2iezn\.12xlarge \| x2iezn\.metal |  ⏎ | X1e | x1e\.xlarge \| x1e\.2xlarge \| x1e\.4xlarge \| x1e\.8xlarge \| x1e\.16xlarge \| x1e\.32xlarge |  ⏎ | z1d | z1d\.large \| z1d\.xlarge \| z1d\.2xlarge \| z1d\.3xlarge \| z1d\.6xlarge \| z1d\.12xlarge \| z1d\.metal |";;
23;unsupported;lexico | granite4.1-8b;q019;What are the limits and quotas for AWS EC2?;Target capacity per fleet: up to 10,000 instances..;unsupported;0.0055;genuine;b30b1f34-e36c-4fa2-a634-9ca10e113981;"aws/EC2 :: Fleet quotas<a name="fleet-quotas"></a>";"[AWS > EC2 > Fleet quotas<a name="fleet-quotas"></a>] The usual Amazon EC2 quotas \(formerly referred to as limits\) apply to instances launched by an EC2 Fleet or a Spot Fleet, such as [Spot Instance limits](using-spot-limits.md) and [volume limits](volume_limits.md)\. ⏎  ⏎ In addition, the following quotas apply: ⏎  ⏎  ⏎ ****   ⏎  ⏎ | Quota description | Quota |  ⏎ | --- | --- |  ⏎ | The number of EC2 Fleets and Spot Fleets per Region in the active, deleted\_running, and cancelled\_running states | 1,000 ¹ ² ³ ⁴ |  ⏎ | The number of Spot capacity pools \(unique combination of instance type and subnet\) | 300 ¹ ⁴ |  ⏎ | The size of the user data in a launch specification | 16 KB ² |  ⏎ | The target capacity per EC2 Fleet or Spot Fleet | 10,000 |  ⏎ | The target capacity across all EC2 Fleets and Spot Fleets in a Region | 100,000 ¹ |  ⏎ |  An EC2 Fleet request or a Spot Fleet request can't span Regions\.  |  |  ⏎ | An EC2 Fleet request or a Spot Fleet request can't span different subnets from the same Availability Zone\. |  |  ⏎  ⏎ ¹ These quotas apply to both your EC2 Fleets and your Spot Fleets\. ⏎  ⏎ ² These are hard quotas\. You cannot request an increase for these quotas\. ⏎  ⏎ ³ After you delete an EC2 Fleet or cancel a Spot Fleet request, and if you specified that the fleet should *not* terminate its Spot Instances when you deleted or canceled the request, the fleet request enters the `deleted_running` \(EC2 Fleet\) or `cancelled_running` \(Spot Fleet\) state and the instances continue to run until they are interrupted or you terminate them manually\. If you terminate the instances, the fleet request enters the `deleted_terminating` \(EC2 Fleet\) or `cancelled_terminating` \( Spot Fleet\) state and does not count towards this quota\. For more information, see [Delete an EC2 Fleet](manage-ec2-fleet.md#delete-fleet) and [Cancel a Spot Fleet request](work-with-spot-fleets.md#cancel-spot-fleet)\. ⏎  ⏎ ⁴ This quota only applies to fleets of type `request` or `maintain`\. This quota does not apply to `instant` fleets\.";;
24;unsupported;denso | granite4.1-8b;q132;What are the differences between AWS Lambda and AWS EC2?;AWS Lambda offers a fully managed, event-driven compute service with automatic scaling and pay-per-use pricing, ideal for flexible, scalable applications..;unsupported;0.5769;genuine;9133b7e6-489e-476e-803a-66829b3575e0;"aws/EC2 :: What is Amazon EC2?<a name="concepts"></a> > Features of Amazon EC2<a name="ec2-features"></a>";" scale up or down to handle changes in requirements or spikes in popularity, reducing your need to forecast traffic\. ⏎  ⏎ For more information about cloud computing, see [What is cloud computing?](https://aws.amazon.com/what-is-cloud-computing/) [AWS > EC2 > What is Amazon EC2?<a name="concepts"></a> > Features of Amazon EC2<a name="ec2-features"></a>] Amazon EC2 provides the following features: ⏎ + Virtual computing environments, known as *instances* ⏎ + Preconfigured templates for your instances, known as *Amazon Machine Images \(AMIs\)*, that package the bits you need for your server \(including the operating system and additional software\) ⏎ + Various configurations of CPU, memory, storage, and networking capacity for your instances, known as *instance types* ⏎ + Secure login information for your instances using *key pairs* \(AWS stores the public key, and you store the private key in a secure place\) ⏎ + Storage volumes for temporary data that's deleted when you stop, hibernate, or terminate your instance, known as *instance store volumes* ⏎ + Persistent storage volumes for your data using Amazon Elastic Block Store \(Amazon EBS\), known as *Amazon EBS volumes* ⏎ + Multiple physical locations for your resources, such as instances and Amazon EBS volumes, known as *Regions* and *Availability Zones* ⏎ + A firewall that enables you to specify the protocols, ports, and source IP ranges that can reach your instances using *security groups* ⏎ + Static IPv4 addresses for dynamic cloud computing, known as *Elastic IP addresses* ⏎ + Metadata, known as *tags*, that you can create and assign to your Amazon EC2 resources ⏎ + Virtual networks you can create that are logically isolated from the rest of the AWS Cloud, and that you can optionally connect to your own network, known as *virtual private clouds* \(VPCs\) ⏎  ⏎ For more information about the features of Amazon EC2, see the [Amazon EC2 product page](https://aws.amazon.com/ec2)\. ⏎  ⏎ For more information about running your website on AWS, see [Web Hosting](https://aws.amazon.com/websites/)\.";;
